date,cases,real
2020-01-18,0,1
2020-01-19,1,0
2020-01-20,3,12
2020-01-21,8,14
2020-01-22,18,33
2020-01-23,32,59
2020-01-24,53,87
2020-01-25,86,167
2020-01-26,133,299
2020-01-27,179,294
2020-01-28,220,404
2020-01-29,240,427
2020-01-30,280,618
2020-01-31,289,503
2020-02-01,311,560
2020-02-02,307,516
2020-02-03,340,684
2020-02-04,328,487
2020-02-05,325,580
2020-02-06,298,493
2020-02-07,292,449
2020-02-08,298,442
2020-02-09,281,373
2020-02-10,275,297
2020-02-11,277,319
2020-02-12,290,594
2020-02-13,267,242
2020-02-14,240,204
2020-02-15,229,132
2020-02-16,211,118
2020-02-17,210,122
2020-02-18,204,38
2020-02-19,188,23
2020-02-20,181,37
2020-02-21,162,20
2020-02-22,169,24
2020-02-23,162,14
2020-02-24,146,11
2020-02-25,127,5
2020-02-26,113,7
2020-02-27,100,3
2020-02-28,93,3
2020-02-29,87,3
2020-03-01,84,4
2020-03-02,77,1
2020-03-03,72,1
2020-03-04,70,2
2020-03-05,63,1
2020-03-06,59,1
2020-03-07,53,0
2020-03-08,47,0
2020-03-09,39,1
2020-03-10,32,0
2020-03-11,25,3
2020-03-12,19,0
2020-03-13,15,0
2020-03-14,14,1
2020-03-15,12,5
2020-03-16,13,5
2020-03-17,12,6
2020-03-18,12,7
2020-03-19,12,18
2020-03-20,12,13
2020-03-21,11,14
2020-03-22,11,12
2020-03-23,11,25
2020-03-24,10,10
2020-03-25,10,20
2020-03-26,9,16
2020-03-27,8,17
2020-03-28,7,14
2020-03-29,7,11
2020-03-30,6,10
2020-03-31,6,15
2020-04-01,5,7
2020-04-02,5,11
2020-04-03,4,3
2020-04-04,4,7
2020-04-05,4,8
2020-04-06,3,2
2020-04-07,3,3
